gFx,gFy,gFz
0.066,-0.092,-0.959
0.077,-0.031,-0.991
0.098,0.009,-1.008
0.111,0.031,-1.004
0.117,0.036,-0.987
0.118,0.037,-0.953
0.116,0.027,-0.909
0.108,0.019,-0.854
0.094,0.008,-0.797
0.078,-0.008,-0.739
0.061,-0.024,-0.687
0.049,-0.04,-0.638
0.047,-0.056,-0.6
0.049,-0.06,-0.57
0.055,-0.063,-0.553
0.05,-0.061,-0.538
0.03,-0.056,-0.521
0.001,-0.052,-0.502
-0.023,-0.057,-0.484
-0.043,-0.063,-0.476
-0.05,-0.076,-0.488
-0.041,-0.097,-0.519
-0.038,-0.112,-0.572
-0.05,-0.115,-0.639
-0.066,-0.1,-0.718
-0.081,-0.072,-0.803
-0.092,-0.03,-0.89
-0.093,0.022,-0.99
-0.08,0.072,-1.12
-0.029,0.103,-1.28
0.047,0.118,-1.426
0.105,0.135,-1.521
0.141,0.148,-1.545
0.158,0.148,-1.483
0.179,0.127,-1.372
0.175,0.073,-1.241
0.162,-0.008,-1.119
0.147,-0.103,-1.003
0.104,-0.193,-0.918
0.059,-0.269,-0.915
0.018,-0.338,-1.005
-0.005,-0.353,-1.14
0.017,-0.292,-1.264
0.083,-0.217,-1.348
0.147,-0.143,-1.375
0.213,-0.089,-1.355
0.248,-0.061,-1.318
0.241,-0.052,-1.274
0.188,-0.075,-1.223
0.095,-0.116,-1.157
0.001,-0.156,-1.073
-0.068,-0.194,-0.989
-0.106,-0.225,-0.924
-0.102,-0.244,-0.891
-0.062,-0.248,-0.894
-0.01,-0.225,-0.907
0.044,-0.19,-0.908
0.09,-0.169,-0.894
0.109,-0.152,-0.862
0.118,-0.143,-0.832
0.116,-0.145,-0.807
0.102,-0.159,-0.793
0.076,-0.174,-0.778
0.049,-0.19,-0.748
0.029,-0.206,-0.705
0.01,-0.219,-0.66
-0.001,-0.224,-0.622
0.006,-0.229,-0.607
0.033,-0.238,-0.622
0.061,-0.246,-0.675
0.075,-0.242,-0.749
0.08,-0.226,-0.83
0.092,-0.207,-0.904
0.11,-0.187,-0.962
0.131,-0.167,-1.004
0.161,-0.148,-1.037
0.204,-0.132,-1.084
0.24,-0.118,-1.139
0.274,-0.106,-1.182
0.298,-0.098,-1.205
0.314,-0.099,-1.21
0.311,-0.111,-1.196
0.272,-0.138,-1.17
0.197,-0.171,-1.151
0.116,-0.214,-1.147
0.065,-0.269,-1.159
0.034,-0.318,-1.184
0.008,-0.335,-1.206
0.004,-0.329,-1.23
0.019,-0.301,-1.258
0.035,-0.259,-1.281
0.042,-0.21,-1.288
0.053,-0.164,-1.281
0.074,-0.13,-1.252
0.091,-0.11,-1.196
0.116,-0.11,-1.125
0.137,-0.119,-1.043
0.145,-0.126,-0.957
0.161,-0.142,-0.875
0.181,-0.16,-0.812
0.193,-0.175,-0.776
0.184,-0.178,-0.773
0.161,-0.162,-0.793
0.135,-0.137,-0.824
0.113,-0.103,-0.874
0.099,-0.076,-0.95
0.099,-0.06,-1.035
0.103,-0.036,-1.107
0.1,-0.002,-1.144
0.086,0.035,-1.147
0.06,0.071,-1.123
0.044,0.097,-1.094
0.059,0.101,-1.065
0.09,0.081,-1.046
0.116,0.061,-1.023
0.128,0.055,-0.981
0.132,0.051,-0.918
0.125,0.045,-0.837
0.115,0.033,-0.749
0.104,0.016,-0.663
0.092,-0.009,-0.585
0.075,-0.04,-0.527
0.064,-0.088,-0.492
0.067,-0.133,-0.484
