gFx,gFy,gFz
-0.167,-0.068,-0.794
-0.292,-0.017,-0.727
-0.271,-0.094,-0.729
-0.321,-0.079,-0.783
-0.48,-0.072,-0.865
-0.601,-0.086,-0.952
-0.64,-0.081,-1.01
-0.603,-0.102,-1.042
-0.54,-0.12,-1.02
-0.432,-0.142,-0.915
-0.332,-0.133,-0.776
-0.291,-0.139,-0.626
-0.284,-0.155,-0.456
-0.255,-0.147,-0.35
-0.259,-0.167,-0.361
-0.278,-0.156,-0.459
-0.279,-0.131,-0.585
-0.299,-0.132,-0.735
-0.355,-0.151,-0.916
-0.434,-0.214,-1.111
-0.457,-0.316,-1.226
-0.351,-0.318,-1.217
-0.114,-0.23,-1.242
0.08,-0.183,-1.376
0.083,-0.174,-1.558
-0.065,-0.117,-1.832
-0.244,0.004,-2.149
-0.38,0.087,-2.337
-0.405,0.087,-2.318
-0.311,0.067,-2.142
-0.183,0.049,-1.876
-0.069,0.005,-1.588
-0.045,-0.021,-1.368
-0.114,-0.005,-1.227
-0.211,0.024,-1.077
-0.269,0.066,-0.875
-0.292,0.122,-0.705
-0.282,0.144,-0.611
-0.194,0.19,-0.554
-0.088,0.215,-0.51
0.02,0.243,-0.454
0.127,0.27,-0.339
0.229,0.279,-0.165
0.339,0.306,0.012
0.413,0.351,0.107
0.446,0.381,0.128
0.47,0.392,0.128
0.515,0.404,0.129
0.638,0.401,0.157
0.766,0.412,0.207
0.804,0.42,0.219
0.78,0.412,0.169
0.737,0.413,0.015
0.679,0.389,-0.244
0.624,0.348,-0.528
0.574,0.318,-0.733
0.536,0.251,-0.823
0.499,0.157,-0.792
0.484,0.067,-0.679
0.464,-0.023,-0.573
0.392,-0.059,-0.562
0.315,-0.005,-0.789
0.223,0.14,-1.322
0.087,0.262,-2.079
0.002,0.308,-2.78
0.056,0.245,-3.187
0.228,0.099,-3.215
0.43,-0.048,-2.894
0.457,-0.104,-2.354
0.156,-0.15,-1.855
-0.211,-0.178,-1.482
-0.425,-0.184,-1.168
-0.509,-0.177,-1.021
-0.557,-0.134,-1.122
-0.604,-0.085,-1.286
-0.677,-0.041,-1.374
-0.749,-0.037,-1.339
-0.684,-0.126,-1.23
-0.636,-0.264,-1.112
-0.684,-0.377,-1.008
-0.778,-0.484,-0.918
-0.868,-0.509,-0.891
-0.963,-0.472,-1.003
-1.056,-0.414,-1.226
-1.082,-0.344,-1.436
-1.041,-0.271,-1.6
-0.913,-0.206,-1.622
-0.651,-0.161,-1.533
-0.472,-0.121,-1.476
-0.507,-0.056,-1.519
-0.617,0.072,-1.699
-0.677,0.241,-1.949
-0.594,0.4,-2.131
-0.418,0.516,-2.23
-0.269,0.581,-2.27
-0.079,0.577,-2.143
0.148,0.474,-1.74
0.352,0.389,-1.235
0.477,0.391,-1.015
0.441,0.411,-1.161
0.275,0.493,-1.478
0.057,0.635,-1.765
-0.029,0.761,-1.978
0.043,0.861,-2.145
0.154,0.862,-1.999
0.221,0.788,-1.502
0.228,0.636,-0.958
0.212,0.444,-0.518
0.164,0.287,-0.211
0.107,0.212,-0.006
0.063,0.187,0.101
0.031,0.207,0.14
0.027,0.263,0.186
0.035,0.314,0.248
0.072,0.385,0.3
0.139,0.438,0.336
0.202,0.457,0.394
0.25,0.47,0.458
0.286,0.469,0.511
0.306,0.473,0.555
0.335,0.526,0.566
0.38,0.584,0.51
0.417,0.629,0.366
0.463,0.641,0.204
0.527,0.613,0.063
0.55,0.581,-0.025
0.501,0.534,-0.017
0.433,0.488,0.073
0.405,0.491,0.186
0.442,0.502,0.181
0.534,0.507,-0.005
0.628,0.524,-0.257
0.672,0.498,-0.435
0.762,0.374,-0.42
1.012,0.24,-0.258
1.224,0.111,-0.132
1.301,0.298,-0.545
1.228,0.746,-1.85
1.164,1.215,-3.683
1.129,1.701,-5.385
0.741,1.624,-6.242
0.252,1.27,-5.784
-0.095,0.789,-4.584
-0.241,0.263,-3.364
-0.244,-0.164,-2.415
-0.203,-0.506,-1.826
-0.142,-0.691,-1.573
-0.162,-0.735,-1.495
-0.415,-0.651,-1.379
-0.859,-0.525,-1.382
-1.303,-0.333,-1.528
-1.582,-0.243,-1.619
-1.685,-0.229,-1.562
-1.665,-0.24,-1.371
-1.566,-0.257,-1.144
-1.418,-0.253,-0.973
-1.272,-0.232,-0.89
-1.08,-0.184,-0.871
-0.95,-0.146,-0.874
-0.846,-0.12,-0.844
-0.73,-0.104,-0.691
-0.626,-0.118,-0.473
-0.46,-0.091,-0.286
-0.422,-0.076,-0.286
-0.38,-0.037,-0.442
-0.274,0.033,-0.696
-0.247,0.093,-1.011
-0.285,0.169,-1.262
-0.294,0.238,-1.409
-0.284,0.289,-1.567
-0.192,0.314,-1.731
-0.053,0.399,-1.866
-0.067,0.573,-2.182
-0.203,0.841,-2.687
-0.318,1.18,-3.179
-0.244,1.525,-3.499
-0.055,1.667,-3.531
0.175,1.619,-3.178
0.339,1.467,-2.565
0.398,1.224,-1.906
0.375,0.953,-1.288
0.383,0.678,-0.776
0.418,0.473,-0.413
0.396,0.332,-0.199
0.293,0.272,-0.057
0.183,0.295,0.058
0.123,0.332,0.142
0.122,0.367,0.218
0.181,0.415,0.311
0.229,0.451,0.38
0.256,0.495,0.453
0.39,0.533,0.555
0.597,0.568,0.683
0.772,0.575,0.771
0.959,0.621,0.841
1.047,0.617,0.912
1.089,0.57,0.968
1.107,0.536,1.022
1.068,0.523,1.031
0.989,0.54,0.963
0.925,0.608,0.786
0.885,0.681,0.569
0.814,0.746,0.415
0.701,0.809,0.275
0.586,0.862,0.08
0.568,0.882,-0.11
0.828,0.901,-0.122
1.205,0.942,-0.06
1.339,1.084,-0.376
1.328,1.432,-1.309
1.104,1.902,-2.852
0.692,2.289,-4.365
0.204,2.305,-5.35
-0.197,1.983,-5.736
-0.361,1.509,-5.332
-0.322,0.977,-4.492
-0.193,0.488,-3.67
-0.027,0.087,-2.958
0.137,-0.209,-2.43
0.158,-0.408,-2.125
0.032,-0.493,-1.92
-0.176,-0.481,-1.816
-0.378,-0.431,-1.763
-0.557,-0.384,-1.707
-0.687,-0.364,-1.601
-0.761,-0.364,-1.433
-0.81,-0.369,-1.231
-0.844,-0.398,-1.037
-0.899,-0.41,-0.907
-0.941,-0.386,-0.828
-0.91,-0.385,-0.725
-0.812,-0.393,-0.54
-0.738,-0.398,-0.306
-0.682,-0.401,-0.137
-0.622,-0.394,-0.085
-0.578,-0.379,-0.147
-0.601,-0.315,-0.266
-0.629,-0.239,-0.329
-0.599,-0.188,-0.308
-0.523,-0.142,-0.241
-0.43,-0.119,-0.259
-0.327,-0.095,-0.441
-0.308,-0.058,-0.826
-0.404,0.013,-1.322
-0.518,0.07,-1.751
-0.558,0.09,-2.037
-0.516,0.137,-2.358
-0.476,0.288,-2.888
-0.523,0.589,-3.466
-0.485,0.94,-3.82
-0.354,1.148,-3.952
-0.185,1.239,-3.757
-0.06,1.174,-3.256
0.071,1.045,-2.636
0.22,0.869,-2.084
0.398,0.68,-1.617
0.525,0.51,-1.209
0.541,0.385,-0.836
0.462,0.294,-0.545
0.353,0.248,-0.368
0.23,0.264,-0.279
0.114,0.315,-0.202
0.093,0.372,-0.106
0.152,0.424,-0.022
0.242,0.503,0.038
0.339,0.554,0.081
0.422,0.562,0.172
0.521,0.56,0.358
0.602,0.537,0.594
0.645,0.493,0.813
0.7,0.478,0.962
0.768,0.489,1.004
0.817,0.491,0.97
0.839,0.511,0.916
0.833,0.543,0.862
0.798,0.588,0.804
0.741,0.645,0.725
0.681,0.701,0.63
0.623,0.794,0.539
0.524,0.883,0.393
0.456,0.926,0.208
0.471,0.906,0.025
0.588,0.82,-0.173
0.837,0.836,-0.291
1.004,0.915,-0.437
1.11,1.063,-0.913
1.186,1.403,-1.923
1.047,1.826,-3.328
0.593,2.06,-4.501
0.112,1.961,-5.074
-0.137,1.635,-5.144
-0.079,1.244,-4.794
0.114,0.806,-4.132
0.294,0.434,-3.407
0.413,0.145,-2.865
0.44,-0.081,-2.45
0.359,-0.24,-2.111
0.19,-0.341,-1.845
-0.039,-0.384,-1.601
-0.268,-0.413,-1.368
-0.452,-0.446,-1.135
-0.598,-0.484,-0.927
-0.739,-0.5,-0.787
-0.844,-0.508,-0.699
-0.899,-0.526,-0.63
-0.928,-0.527,-0.561
-0.954,-0.51,-0.505
-0.961,-0.455,-0.474
-1.023,-0.487,-0.476
-1.007,-0.465,-0.468
-0.924,-0.435,-0.425
-0.825,-0.443,-0.403
-0.708,-0.44,-0.345
-0.602,-0.481,-0.369
-0.503,-0.521,-0.468
-0.367,-0.565,-0.643
-0.237,-0.631,-0.963
-0.23,-0.622,-1.382
-0.288,-0.497,-1.899
-0.216,-0.307,-2.6
0.055,0.022,-3.333
0.436,0.403,-3.716
0.696,0.609,-3.584
0.846,0.618,-3.21
0.904,0.624,-2.952
0.761,0.612,-3.034
0.578,0.799,-3.286
0.435,1.117,-3.355
0.28,1.296,-3.1
0.17,1.35,-2.535
0.125,1.27,-1.876
0.113,1.143,-1.328
0.101,1.02,-0.957
0.075,0.915,-0.7
0.011,0.837,-0.467
-0.094,0.77,-0.241
-0.171,0.742,-0.012
-0.182,0.735,0.196
-0.12,0.706,0.389
-0.015,0.663,0.591
0.06,0.618,0.801
0.127,0.593,0.972
0.223,0.615,1.075
0.311,0.645,1.1
0.395,0.686,1.074
0.468,0.731,1.018
0.521,0.765,0.938
0.56,0.812,0.839
0.586,0.822,0.74
0.626,0.795,0.679
0.689,0.787,0.635
0.723,0.836,0.559
0.727,0.897,0.39
0.74,0.943,0.137
0.768,0.984,-0.117
0.752,0.995,-0.352
0.803,0.969,-0.454
0.999,0.902,-0.426
1.276,0.893,-0.444
1.399,0.908,-0.59
1.27,1.004,-0.989
0.94,1.304,-1.837
0.558,1.75,-3.063
0.181,2.011,-4.315
-0.04,1.918,-5.089
-0.014,1.541,-5.157
0.17,1.073,-4.564
0.304,0.615,-3.76
0.386,0.217,-3.132
0.417,-0.075,-2.769
0.298,-0.255,-2.613
0.039,-0.372,-2.486
-0.255,-0.444,-2.251
-0.487,-0.508,-1.931
-0.602,-0.571,-1.571
-0.634,-0.615,-1.243
-0.671,-0.633,-1.029
-0.752,-0.618,-0.941
-0.846,-0.577,-0.905
-0.888,-0.536,-0.865
-0.884,-0.498,-0.802
-0.856,-0.463,-0.736
-0.798,-0.423,-0.688
-0.72,-0.39,-0.633
-0.636,-0.35,-0.553
-0.578,-0.323,-0.447
-0.545,-0.302,-0.318
-0.496,-0.283,-0.207
-0.421,-0.25,-0.249
-0.322,-0.191,-0.404
-0.23,-0.151,-0.557
-0.176,-0.096,-0.658
-0.27,-0.072,-0.661
-0.376,-0.05,-0.656
-0.449,0.006,-0.886
-0.562,0.096,-1.381
-0.635,0.201,-1.918
-0.588,0.255,-2.252
-0.423,0.256,-2.375
-0.208,0.254,-2.537
-0.046,0.387,-2.918
0.065,0.65,-3.314
0.217,0.908,-3.437
0.385,1.011,-3.24
0.477,1.008,-2.857
0.478,0.933,-2.344
0.412,0.776,-1.847
0.289,0.609,-1.44
0.173,0.474,-1.125
0.102,0.384,-0.901
-0.01,0.29,-0.721
-0.154,0.224,-0.47
-0.23,0.194,-0.264
-0.236,0.155,-0.142
-0.18,0.178,-0.027
-0.048,0.226,0.028
0.091,0.241,0.041
0.16,0.318,0.096
0.171,0.416,0.192
0.195,0.536,0.302
0.236,0.654,0.374
0.292,0.742,0.362
0.415,0.839,0.317
0.538,0.915,0.266
0.657,0.932,0.258
0.787,0.911,0.406
0.934,0.87,0.669
1.1,0.828,0.921
1.226,0.78,1.113
1.231,0.776,1.248
1.094,0.853,1.226
0.895,0.922,0.955
0.792,1.007,0.462
0.746,1.071,-0.189
0.772,1.079,-0.795
0.805,0.998,-1.277
0.644,0.967,-2.09
0.486,1.072,-3.208
0.365,1.198,-4.149
-0.017,1.246,-4.892
-0.436,1.07,-5.213
-0.639,0.687,-4.912
-0.678,0.332,-4.297
-0.672,0.049,-3.738
-0.627,-0.161,-3.318
-0.455,-0.338,-2.991
-0.163,-0.481,-2.678
0.103,-0.58,-2.346
0.238,-0.623,-2.006
0.204,-0.592,-1.782
0.055,-0.541,-1.609
-0.114,-0.495,-1.408
-0.313,-0.458,-1.233
-0.52,-0.424,-1.086
-0.713,-0.399,-0.909
-0.902,-0.389,-0.707
-0.983,-0.399,-0.484
-0.932,-0.399,-0.263
-0.827,-0.37,-0.071
-0.693,-0.345,0.071
-0.547,-0.33,0.16
-0.438,-0.297,0.188
-0.343,-0.264,0.146
-0.232,-0.253,0.018
-0.13,-0.239,-0.146
-0.056,-0.214,-0.33
-0.034,-0.159,-0.561
-0.141,-0.084,-0.868
-0.252,0,-1.138
-0.267,0.069,-1.441
-0.251,0.09,-1.761
-0.242,-0.012,-1.962
-0.174,-0.167,-2.027
-0.023,-0.217,-2.059
0.067,-0.184,-2.159
0.027,-0.09,-2.406
-0.095,0.133,-2.806
-0.225,0.415,-3.069
-0.294,0.509,-3.09
-0.273,0.457,-2.895
-0.179,0.4,-2.501
-0.069,0.266,-2
