time,gFx,gFy,gFz,gFTotal
0.000,0.093,0.084,-1.088,1.095
0.010,0.076,0.092,-0.997,1.004
0.020,0.018,0.095,-0.907,0.912
0.030,-0.053,0.052,-0.865,0.868
0.040,-0.112,0.009,-0.834,0.841
0.050,-0.112,-0.006,-0.804,0.811
0.060,-0.097,0.012,-0.818,0.824
0.070,-0.121,0.001,-0.853,0.862
0.080,-0.064,-0.047,-0.868,0.871
0.090,-0.020,-0.077,-0.864,0.867
0.100,-0.032,-0.094,-0.876,0.882
0.110,-0.018,-0.103,-0.881,0.887
0.120,0.013,-0.094,-0.835,0.841
0.130,0.043,-0.067,-0.804,0.808
0.140,0.034,-0.055,-0.800,0.802
0.150,0.015,-0.076,-0.852,0.855
0.160,0.044,-0.092,-0.796,0.802
0.170,0.068,-0.068,-0.663,0.670
0.180,0.054,-0.021,-0.648,0.651
0.190,0.018,-0.005,-0.753,0.753
0.200,0.026,-0.070,-0.884,0.887
0.210,0.082,-0.118,-0.971,0.981
0.220,0.156,-0.100,-0.908,0.926
0.230,0.185,-0.074,-0.787,0.812
0.239,0.212,-0.126,-0.841,0.877
0.250,0.161,-0.170,-0.837,0.870
0.259,0.019,-0.153,-0.859,0.873
0.269,-0.037,-0.193,-0.908,0.930
0.279,-0.103,-0.262,-0.908,0.951
0.289,-0.182,-0.375,-0.973,1.059
0.300,-0.238,-0.508,-1.020,1.164
0.309,-0.279,-0.603,-1.016,1.214
0.319,-0.236,-0.578,-0.976,1.158
0.329,-0.170,-0.464,-0.886,1.015
0.339,-0.109,-0.341,-0.848,0.920
0.349,0.008,-0.284,-0.805,0.854
0.359,0.023,-0.269,-0.739,0.787
0.369,-0.023,-0.199,-0.726,0.753
0.379,-0.093,-0.145,-0.749,0.769
0.389,-0.120,-0.120,-0.763,0.782
0.399,-0.002,-0.045,-0.853,0.855
0.409,0.259,0.059,-0.899,0.937
0.419,0.418,0.210,-0.935,1.045
0.429,0.504,0.287,-1.021,1.174
0.439,0.528,0.366,-1.080,1.256
0.449,0.475,0.406,-1.210,1.362
0.459,0.390,0.340,-1.281,1.382
0.469,0.238,0.166,-1.340,1.371
0.479,0.207,0.131,-1.372,1.393
0.489,0.290,0.322,-1.338,1.406
0.499,0.216,0.443,-1.278,1.369
0.509,0.036,0.411,-1.255,1.321
0.519,-0.071,0.311,-1.283,1.322
0.529,-0.105,0.250,-1.409,1.435
0.539,-0.199,0.271,-1.528,1.565
0.549,-0.324,0.262,-1.557,1.612
0.559,-0.388,0.197,-1.526,1.587
0.569,-0.399,0.172,-1.466,1.529
0.579,-0.374,0.228,-1.421,1.487
0.589,-0.371,0.282,-1.379,1.456
0.599,-0.399,0.230,-1.300,1.379
0.609,-0.412,0.118,-1.214,1.287
0.619,-0.464,0.020,-1.164,1.253
0.629,-0.519,-0.049,-1.104,1.221
0.639,-0.469,-0.188,-1.029,1.146
0.649,-0.428,-0.314,-1.037,1.165
0.659,-0.442,-0.378,-1.074,1.222
0.669,-0.463,-0.440,-1.123,1.292
0.679,-0.432,-0.512,-1.283,1.447
0.689,-0.328,-0.324,-1.370,1.446
0.699,-0.276,-0.230,-1.242,1.292
0.709,-0.179,-0.325,-0.996,1.063
0.719,-0.101,-0.421,-0.841,0.946
0.729,-0.074,-0.476,-0.756,0.896
0.739,-0.046,-0.513,-0.723,0.887
0.749,0.085,-0.561,-0.798,0.979
0.759,0.085,-0.578,-0.879,1.055
0.769,0.005,-0.583,-0.851,1.031
0.779,0.053,-0.582,-0.820,1.006
0.789,0.041,-0.598,-0.828,1.023
