time,gFx,gFy,gFz,gFTotal
0.000,0.236,-0.214,-0.898,0.953
0.010,0.234,-0.204,-0.936,0.986
0.020,0.217,-0.171,-0.956,0.995
0.030,0.230,-0.194,-1.001,1.045
0.040,0.198,-0.238,-1.029,1.074
0.050,0.267,-0.242,-1.007,1.070
0.060,0.404,-0.271,-0.940,1.059
0.070,0.409,-0.284,-0.894,1.024
0.080,0.381,-0.305,-0.856,0.985
0.090,0.354,-0.304,-0.820,0.944
0.100,0.372,-0.270,-0.772,0.898
0.110,0.431,-0.246,-0.708,0.865
0.120,0.453,-0.229,-0.641,0.817
0.130,0.468,-0.205,-0.583,0.776
0.140,0.473,-0.181,-0.562,0.757
0.150,0.464,-0.151,-0.584,0.761
0.160,0.477,-0.109,-0.626,0.795
0.170,0.502,-0.072,-0.670,0.840
0.180,0.493,-0.078,-0.721,0.877
0.190,0.490,-0.090,-0.761,0.909
0.200,0.499,-0.110,-0.784,0.936
0.210,0.521,-0.132,-0.792,0.958
0.220,0.532,-0.127,-0.793,0.964
0.230,0.592,-0.048,-0.746,0.953
0.240,0.599,-0.044,-0.661,0.893
0.250,0.473,-0.180,-0.775,0.925
0.260,0.307,-0.247,-0.798,0.890
0.269,0.166,-0.282,-0.809,0.873
0.279,0.030,-0.319,-0.968,1.020
0.290,-0.022,-0.267,-1.091,1.123
0.299,-0.036,-0.162,-1.144,1.156
0.309,-0.014,-0.112,-1.230,1.235
0.319,0.038,-0.123,-1.339,1.345
0.329,0.061,-0.159,-1.419,1.430
0.340,0.046,-0.187,-1.462,1.475
0.350,-0.025,-0.202,-1.465,1.479
0.359,-0.078,-0.215,-1.400,1.419
0.369,-0.112,-0.232,-1.303,1.329
0.379,-0.148,-0.260,-1.246,1.282
0.389,-0.156,-0.294,-1.240,1.284
0.399,-0.142,-0.322,-1.269,1.317
0.409,-0.122,-0.335,-1.314,1.362
0.419,-0.093,-0.331,-1.369,1.412
0.429,-0.084,-0.325,-1.425,1.464
0.439,-0.095,-0.334,-1.453,1.494
0.449,-0.101,-0.383,-1.444,1.497
0.459,-0.100,-0.452,-1.408,1.482
0.469,-0.101,-0.515,-1.368,1.465
0.479,-0.114,-0.578,-1.360,1.482
0.489,-0.134,-0.629,-1.405,1.545
0.499,-0.139,-0.638,-1.483,1.621
0.509,-0.111,-0.595,-1.537,1.652
0.519,-0.045,-0.546,-1.510,1.606
0.529,0.071,-0.517,-1.402,1.497
0.539,0.206,-0.502,-1.270,1.381
0.549,0.278,-0.490,-1.187,1.314
0.559,0.279,-0.476,-1.222,1.341
0.569,0.273,-0.422,-1.322,1.414
0.579,0.275,-0.341,-1.433,1.498
0.589,0.269,-0.253,-1.518,1.562
0.599,0.262,-0.166,-1.549,1.580
0.609,0.260,-0.084,-1.505,1.530
0.619,0.275,-0.023,-1.408,1.435
0.629,0.313,0.024,-1.277,1.316
0.639,0.341,0.066,-1.139,1.191
0.649,0.345,0.086,-1.015,1.075
0.659,0.328,0.086,-0.914,0.975
0.669,0.308,0.081,-0.835,0.893
0.679,0.296,0.079,-0.789,0.846
0.689,0.324,0.071,-0.778,0.846
0.699,0.370,0.055,-0.763,0.850
0.709,0.430,0.047,-0.744,0.861
0.719,0.486,0.038,-0.715,0.865
0.729,0.505,0.017,-0.667,0.836
0.739,0.503,-0.013,-0.606,0.788
0.749,0.498,-0.036,-0.540,0.736
0.759,0.486,-0.062,-0.483,0.688
0.769,0.474,-0.078,-0.433,0.647
