gFx,gFy,gFz
0.11,-0.384,-0.825
0.091,-0.355,-0.864
0.034,-0.257,-0.932
-0.005,-0.236,-1.002
0.081,-0.233,-1.026
0.173,-0.251,-1.017
0.166,-0.256,-1.017
0.153,-0.253,-1.026
0.104,-0.236,-1.077
0.058,-0.238,-1.153
0.106,-0.347,-1.205
0.104,-0.351,-1.203
0.066,-0.311,-1.168
0.072,-0.277,-1.132
0.089,-0.277,-1.123
0.097,-0.258,-1.112
0.066,-0.218,-1.098
0.065,-0.152,-1.098
0.086,-0.066,-1.118
0.05,-0.041,-1.225
-0.024,-0.07,-1.33
-0.177,-0.162,-1.482
-0.234,-0.171,-1.598
-0.253,-0.12,-1.708
-0.191,-0.025,-1.68
-0.124,-0.005,-1.501
-0.174,-0.047,-1.298
-0.192,-0.057,-1.124
-0.146,-0.041,-0.995
-0.093,-0.022,-0.961
-0.021,-0.023,-0.996
0.076,-0.045,-1.058
0.161,-0.042,-1.087
0.18,-0.043,-1.095
0.154,-0.055,-1.092
0.158,-0.036,-1.044
0.162,-0.008,-1.023
0.18,-0.003,-1.039
0.205,-0.029,-1.083
0.225,-0.034,-1.075
0.236,-0.033,-1.088
0.214,-0.014,-1.075
0.18,-0.014,-1.002
0.123,-0.012,-0.922
0.089,-0.028,-0.831
0.072,-0.056,-0.745
0.06,-0.085,-0.664
0.055,-0.107,-0.594
0.054,-0.12,-0.542
0.048,-0.119,-0.518
0.019,-0.132,-0.532
-0.013,-0.161,-0.553
-0.031,-0.17,-0.563
-0.032,-0.168,-0.582
0.008,-0.158,-0.587
0.078,-0.122,-0.583
0.073,-0.155,-0.64
0.131,-0.171,-0.672
0.158,-0.168,-0.677
0.163,-0.17,-0.676
0.18,-0.153,-0.677
0.206,-0.137,-0.693
0.251,-0.116,-0.734
0.255,-0.079,-0.799
0.194,-0.07,-0.872
0.11,-0.085,-0.938
0.051,-0.091,-0.969
0.039,-0.097,-0.978
0.075,-0.102,-1.006
0.099,-0.125,-1.06
0.107,-0.165,-1.092
0.153,-0.161,-1.08
0.232,-0.117,-1.055
0.292,-0.079,-1.076
0.326,-0.028,-1.172
0.325,0.057,-1.32
0.296,0.16,-1.492
0.255,0.256,-1.651
0.145,0.251,-1.795
0.104,0.2,-1.863
0.171,0.197,-1.789
0.24,0.154,-1.624
0.271,0.099,-1.442
0.263,0.059,-1.28
0.243,0.031,-1.16
0.23,0.022,-1.094
0.205,0.022,-1.071
0.167,0.03,-1.059
0.122,0.041,-1.051
0.082,0.042,-1.058
0.041,0.036,-1.069
-0.008,0.021,-1.072
-0.046,-0.003,-1.057
-0.065,-0.03,-1.019
-0.071,-0.057,-0.959
-0.072,-0.085,-0.886
-0.076,-0.108,-0.805
-0.067,-0.119,-0.716
-0.04,-0.133,-0.633
-0.022,-0.147,-0.566
-0.018,-0.156,-0.527
-0.027,-0.163,-0.522
-0.039,-0.171,-0.541
-0.039,-0.184,-0.556
-0.027,-0.203,-0.56
-0.006,-0.225,-0.567
-0.004,-0.241,-0.583
-0.021,-0.245,-0.59
-0.03,-0.246,-0.608
-0.022,-0.244,-0.66
0.001,-0.236,-0.739
0.019,-0.223,-0.857
0.013,-0.198,-1.001
-0.006,-0.172,-1.121
-0.001,-0.141,-1.208
0.028,-0.126,-1.269
0.049,-0.133,-1.301
0.055,-0.145,-1.303
0.054,-0.152,-1.271
0.055,-0.176,-1.227
0.076,-0.192,-1.182
0.13,-0.199,-1.159
0.188,-0.223,-1.181
0.239,-0.245,-1.23
0.308,-0.226,-1.252
0.37,-0.165,-1.262
0.354,-0.109,-1.329
0.283,-0.078,-1.465
0.245,-0.026,-1.609
0.236,0.052,-1.713
0.205,0.098,-1.752
0.17,0.099,-1.7
0.157,0.071,-1.559
0.155,0.035,-1.381
0.143,0.005,-1.219
0.123,-0.017,-1.104
0.113,-0.037,-1.028
0.129,-0.038,-0.959
0.143,-0.044,-0.898
0.158,-0.04,-0.865
0.174,-0.013,-0.889
0.178,0.026,-0.97
0.167,0.056,-1.043
0.145,0.072,-1.051
0.111,0.075,-1.003
0.077,0.057,-0.916
0.059,0.033,-0.814
0.057,0.004,-0.705
0.056,-0.027,-0.607
0.051,-0.049,-0.541
0.054,-0.068,-0.504
0.049,-0.081,-0.474
0.038,-0.094,-0.46
0.036,-0.108,-0.468
0.046,-0.124,-0.485
0.051,-0.154,-0.504
0.054,-0.185,-0.514
0.053,-0.196,-0.524
0.05,-0.198,-0.529
0.04,-0.205,-0.523
0.041,-0.214,-0.52
0.07,-0.222,-0.548
0.095,-0.225,-0.629
0.104,-0.216,-0.737
0.109,-0.196,-0.854
0.112,-0.17,-0.98
0.108,-0.146,-1.074
0.108,-0.131,-1.106
0.115,-0.127,-1.09
0.141,-0.135,-1.052
0.157,-0.143,-1.011
0.146,-0.149,-0.98
0.125,-0.159,-0.972
0.107,-0.168,-1.013
0.112,-0.168,-1.108
0.154,-0.146,-1.211
0.258,-0.092,-1.295
0.379,-0.033,-1.382
0.429,-0.001,-1.477
0.411,0.031,-1.539
0.369,0.084,-1.587
0.327,0.115,-1.651
0.319,0.121,-1.688
0.338,0.114,-1.659
0.363,0.091,-1.566
0.382,0.064,-1.411
0.403,0.054,-1.204
0.434,0.042,-1.029
0.451,0.023,-0.91
0.452,0.008,-0.836
0.404,-0.025,-0.812
0.34,-0.055,-0.826
0.277,-0.071,-0.874
0.204,-0.085,-0.942
0.134,-0.102,-0.995
0.074,-0.118,-0.996
0.028,-0.143,-0.953
-0.003,-0.169,-0.879
-0.024,-0.195,-0.789
-0.042,-0.224,-0.693
-0.053,-0.243,-0.6
-0.065,-0.259,-0.523
-0.071,-0.271,-0.474
-0.061,-0.269,-0.463
-0.064,-0.261,-0.491
-0.072,-0.259,-0.528
-0.063,-0.253,-0.539
-0.034,-0.23,-0.56
-0.01,-0.221,-0.615
0.015,-0.212,-0.662
0.051,-0.194,-0.699
0.075,-0.183,-0.765
0.081,-0.169,-0.888
0.065,-0.134,-1.042
0.041,-0.104,-1.155
0.04,-0.086,-1.207
0.05,-0.082,-1.229
