time,gFx,gFy,gFz,gFTotal
0.000,0.062,-0.269,-0.929,0.969
0.010,0.052,-0.235,-0.868,0.901
0.020,0.044,-0.222,-0.846,0.875
0.030,0.063,-0.238,-0.838,0.873
0.040,0.096,-0.262,-0.839,0.884
0.050,0.121,-0.317,-0.882,0.945
0.060,0.167,-0.334,-0.926,0.998
0.070,0.179,-0.334,-0.950,1.023
0.080,0.178,-0.323,-0.961,1.029
0.090,0.156,-0.284,-0.974,1.026
0.100,0.127,-0.262,-0.966,1.009
0.110,0.108,-0.239,-0.943,0.978
0.120,0.095,-0.211,-0.903,0.932
0.130,0.090,-0.206,-0.850,0.879
0.140,0.097,-0.195,-0.788,0.817
0.150,0.077,-0.184,-0.774,0.799
0.160,0.029,-0.250,-0.823,0.861
0.170,-0.044,-0.385,-0.885,0.966
0.179,-0.126,-0.534,-0.918,1.069
0.190,-0.172,-0.617,-0.947,1.143
0.200,-0.140,-0.605,-1.057,1.226
0.210,-0.054,-0.572,-1.081,1.225
0.220,-0.036,-0.374,-0.996,1.065
0.229,0.047,-0.095,-1.006,1.011
0.239,0.113,-0.016,-0.878,0.885
0.250,0.120,-0.034,-0.809,0.818
0.259,0.045,-0.089,-0.856,0.862
0.269,0.099,-0.161,-0.749,0.773
0.279,0.176,-0.242,-0.638,0.705
0.289,0.177,-0.197,-0.528,0.591
0.299,0.158,-0.092,-0.471,0.505
0.309,0.157,-0.012,-0.511,0.535
0.319,0.163,0.040,-0.561,0.585
0.329,0.180,0.069,-0.609,0.639
0.339,0.182,0.074,-0.644,0.673
0.349,0.177,0.056,-0.658,0.683
0.359,0.195,0.038,-0.728,0.755
0.369,0.226,0.029,-0.834,0.865
0.379,0.241,0.035,-0.915,0.947
0.389,0.265,0.031,-0.983,1.018
0.399,0.252,-0.019,-1.053,1.083
0.409,0.187,-0.114,-1.081,1.103
0.419,0.152,-0.134,-1.060,1.079
0.429,0.132,-0.131,-1.005,1.022
0.439,0.096,-0.164,-0.920,0.940
0.449,0.076,-0.155,-0.964,0.979
0.459,0.016,-0.107,-1.005,1.011
0.469,-0.036,-0.089,-1.036,1.041
0.479,-0.081,-0.127,-1.041,1.051
0.489,-0.158,-0.160,-1.082,1.105
0.499,-0.255,-0.180,-1.163,1.204
0.509,-0.329,-0.266,-1.208,1.280
0.519,-0.344,-0.327,-1.247,1.334
0.529,-0.338,-0.324,-1.248,1.333
0.539,-0.276,-0.281,-1.277,1.337
0.549,-0.158,-0.227,-1.251,1.281
0.559,-0.045,-0.222,-1.178,1.200
0.569,0.002,-0.266,-1.131,1.162
0.579,-0.004,-0.352,-1.119,1.173
0.589,-0.014,-0.438,-1.128,1.210
0.599,-0.003,-0.501,-1.135,1.240
0.609,0.031,-0.517,-1.177,1.285
0.619,0.044,-0.508,-1.178,1.284
0.629,0.016,-0.537,-1.165,1.283
0.639,-0.010,-0.445,-1.226,1.304
0.649,0.055,-0.377,-1.214,1.272
0.659,0.091,-0.421,-1.120,1.200
0.669,0.079,-0.454,-1.062,1.158
0.679,0.076,-0.455,-1.024,1.124
0.689,0.081,-0.457,-0.989,1.092
0.699,0.064,-0.470,-0.981,1.090
0.709,0.052,-0.466,-1.037,1.138
0.719,0.029,-0.459,-1.091,1.184
0.729,0.001,-0.461,-1.101,1.193
0.739,0.007,-0.446,-1.072,1.161
0.749,0.037,-0.442,-0.991,1.086
0.759,0.063,-0.495,-0.901,1.029
0.769,0.037,-0.546,-0.836,0.999
0.779,0.023,-0.569,-0.800,0.982
0.789,0.020,-0.587,-0.804,0.996
0.799,0.015,-0.607,-0.872,1.063
0.809,0.016,-0.596,-0.978,1.145
0.818,0.052,-0.565,-1.063,1.205
0.829,0.109,-0.553,-1.137,1.269
0.838,0.050,-0.562,-1.164,1.294
0.849,-0.032,-0.599,-1.177,1.321
0.858,-0.110,-0.593,-1.161,1.309
0.868,-0.178,-0.568,-1.114,1.263
0.878,-0.193,-0.557,-1.102,1.250
0.888,-0.167,-0.544,-1.107,1.245
0.898,-0.143,-0.548,-1.114,1.250
0.908,-0.114,-0.540,-1.120,1.249
0.918,-0.064,-0.519,-1.125,1.241
0.928,-0.017,-0.480,-1.114,1.214
0.938,0.025,-0.444,-1.065,1.154
0.948,0.051,-0.416,-1.025,1.107
0.958,0.064,-0.397,-1.015,1.092
0.968,0.114,-0.385,-1.033,1.109
0.978,0.167,-0.352,-1.060,1.129
0.988,0.197,-0.315,-1.077,1.139
0.998,0.205,-0.269,-1.060,1.113
1.008,0.188,-0.238,-1.039,1.082
1.018,0.155,-0.240,-1.010,1.049
1.028,0.137,-0.276,-0.985,1.032
1.038,0.103,-0.295,-0.994,1.042
1.048,0.094,-0.282,-1.035,1.076
1.058,0.071,-0.243,-1.107,1.136
1.068,0.010,-0.232,-1.190,1.212
1.078,-0.022,-0.189,-1.209,1.224
1.088,0.001,-0.105,-1.172,1.176
1.098,0.028,-0.014,-1.133,1.133
1.108,0.025,0.013,-1.117,1.117
1.118,0.012,-0.014,-1.096,1.096
1.128,0.012,-0.038,-1.060,1.061
1.138,0.052,-0.040,-1.061,1.063
1.148,0.088,-0.042,-1.098,1.102
1.158,0.103,-0.010,-1.151,1.155
1.168,0.111,0.013,-1.177,1.182
1.178,0.132,0.016,-1.194,1.202
1.188,0.124,0.044,-1.194,1.201
1.198,0.122,0.075,-1.177,1.185
1.208,0.148,0.059,-1.153,1.164
1.218,0.165,0.073,-1.097,1.112
1.228,0.169,0.136,-1.072,1.094
1.238,0.132,0.180,-1.041,1.064
1.248,0.082,0.176,-1.005,1.023
1.258,0.063,0.206,-0.948,0.972
1.268,0.061,0.255,-0.869,0.908
1.278,0.066,0.283,-0.805,0.856
1.288,0.080,0.321,-0.792,0.858
1.298,0.107,0.345,-0.813,0.889
1.308,0.087,0.337,-0.886,0.952
1.318,0.103,0.308,-1.003,1.054
1.328,0.106,0.244,-1.060,1.093
1.338,0.118,0.164,-1.062,1.082
1.348,0.149,0.183,-1.041,1.068
1.358,0.183,0.253,-0.979,1.028
1.368,0.196,0.296,-0.929,0.994
1.378,0.175,0.330,-0.912,0.986
1.387,0.117,0.355,-0.865,0.942
1.397,0.036,0.360,-0.784,0.864
1.408,-0.081,0.364,-0.712,0.804
1.417,-0.147,0.324,-0.714,0.798
1.427,-0.135,0.216,-0.752,0.794
1.437,-0.086,0.092,-0.749,0.759
1.447,-0.017,0.027,-0.725,0.726
1.457,0.016,0.049,-0.727,0.728
1.467,-0.017,0.101,-0.740,0.747
1.477,-0.095,0.088,-0.735,0.746
1.487,-0.199,0.008,-0.714,0.741
1.497,-0.305,-0.078,-0.711,0.777
1.507,-0.350,-0.116,-0.734,0.821
1.517,-0.342,-0.114,-0.776,0.855
1.527,-0.316,-0.123,-0.829,0.896
1.537,-0.299,-0.118,-0.906,0.961
1.547,-0.309,-0.066,-0.990,1.039
1.557,-0.319,-0.012,-1.051,1.099
1.567,-0.349,-0.037,-1.078,1.133
1.577,-0.419,-0.111,-1.105,1.187
1.587,-0.493,-0.184,-1.109,1.227
1.597,-0.531,-0.218,-1.064,1.210
1.607,-0.553,-0.217,-1.021,1.182
1.617,-0.605,-0.213,-0.972,1.165
1.627,-0.699,-0.203,-0.953,1.199
1.637,-0.758,-0.188,-0.919,1.206
1.647,-0.756,-0.187,-0.865,1.164
1.657,-0.710,-0.218,-0.834,1.117
1.667,-0.631,-0.275,-0.825,1.075
1.677,-0.568,-0.331,-0.847,1.072
1.687,-0.509,-0.370,-0.836,1.046
1.697,-0.478,-0.399,-0.817,1.027
1.707,-0.500,-0.425,-0.765,1.008
1.717,-0.546,-0.436,-0.714,0.999
1.727,-0.661,-0.463,-0.760,1.108
1.737,-0.742,-0.452,-0.881,1.237
1.747,-0.687,-0.358,-0.935,1.215
1.757,-0.586,-0.353,-0.914,1.141
1.767,-0.516,-0.387,-0.908,1.114
1.777,-0.435,-0.382,-0.906,1.075
1.787,-0.336,-0.402,-0.906,1.047
1.797,-0.289,-0.431,-0.921,1.057
1.807,-0.279,-0.477,-0.912,1.066
1.817,-0.264,-0.512,-0.899,1.068
1.827,-0.283,-0.524,-0.906,1.084
1.837,-0.394,-0.542,-0.947,1.159
1.847,-0.465,-0.536,-1.007,1.232
1.857,-0.457,-0.569,-1.029,1.261
1.867,-0.413,-0.597,-1.021,1.253
1.877,-0.362,-0.591,-1.026,1.238
1.887,-0.351,-0.593,-1.054,1.259
1.897,-0.349,-0.572,-1.079,1.270
1.907,-0.349,-0.546,-1.100,1.276
1.917,-0.363,-0.537,-1.126,1.299
1.927,-0.371,-0.550,-1.137,1.316
1.937,-0.353,-0.564,-1.127,1.309
1.947,-0.338,-0.543,-1.110,1.281
1.957,-0.323,-0.506,-1.089,1.243
1.966,-0.314,-0.462,-1.071,1.208
1.976,-0.338,-0.416,-1.065,1.192
1.986,-0.341,-0.403,-1.048,1.174
