time,gFx,gFy,gFz,gFTotal
0.000,0.075,-0.127,-0.674,0.690
0.010,0.121,-0.172,-0.707,0.738
0.020,0.138,-0.203,-0.800,0.837
0.030,0.155,-0.198,-0.909,0.943
0.040,0.190,-0.200,-1.045,1.080
0.050,0.205,-0.206,-1.216,1.250
0.060,0.174,-0.170,-1.395,1.416
0.070,0.112,-0.121,-1.486,1.495
0.080,0.073,-0.052,-1.481,1.484
0.090,0.068,0.008,-1.440,1.442
0.100,0.083,-0.002,-1.385,1.387
0.110,0.144,-0.084,-1.365,1.375
0.120,0.216,-0.176,-1.319,1.348
0.130,0.190,-0.237,-1.228,1.264
0.140,0.113,-0.299,-1.140,1.184
0.150,0.033,-0.348,-1.048,1.105
0.160,-0.014,-0.359,-1.060,1.119
0.170,-0.032,-0.383,-1.204,1.264
0.180,0.032,-0.365,-1.279,1.331
0.190,0.121,-0.298,-1.231,1.273
0.200,0.202,-0.211,-1.183,1.218
0.210,0.289,-0.096,-1.092,1.133
0.220,0.336,-0.010,-0.964,1.021
0.230,0.339,0.008,-0.839,0.905
0.240,0.313,-0.028,-0.773,0.834
0.250,0.300,-0.084,-0.809,0.867
0.260,0.280,-0.112,-0.868,0.919
0.270,0.237,-0.106,-0.874,0.912
0.280,0.187,-0.103,-0.859,0.885
0.290,0.130,-0.098,-0.820,0.836
0.300,0.071,-0.075,-0.735,0.742
0.309,0.040,-0.046,-0.655,0.658
0.320,0.062,-0.038,-0.621,0.626
0.330,0.111,-0.040,-0.591,0.602
0.340,0.144,-0.041,-0.563,0.582
0.349,0.148,-0.042,-0.542,0.563
0.360,0.127,-0.048,-0.526,0.543
0.369,0.101,-0.054,-0.518,0.531
0.379,0.072,-0.071,-0.504,0.514
0.389,0.025,-0.100,-0.493,0.504
0.399,-0.029,-0.130,-0.580,0.595
0.409,-0.053,-0.145,-0.730,0.746
0.419,-0.027,-0.133,-0.847,0.858
0.429,0.026,-0.103,-0.903,0.909
0.439,0.077,-0.072,-0.905,0.911
0.449,0.105,-0.066,-0.863,0.872
0.459,0.105,-0.095,-0.814,0.826
0.469,0.070,-0.151,-0.767,0.785
0.479,0.008,-0.231,-0.738,0.773
0.489,-0.115,-0.296,-0.755,0.819
0.499,-0.192,-0.316,-0.778,0.861
0.509,-0.177,-0.291,-0.811,0.880
0.519,-0.118,-0.267,-0.830,0.880
0.529,-0.022,-0.265,-0.821,0.863
0.539,0.049,-0.268,-0.817,0.862
0.549,0.126,-0.278,-0.869,0.921
0.559,0.185,-0.281,-0.950,1.008
0.569,0.162,-0.228,-1.052,1.089
0.579,0.113,-0.111,-1.185,1.196
0.589,0.140,-0.121,-1.368,1.381
0.599,0.144,-0.154,-1.507,1.522
0.609,0.099,-0.152,-1.529,1.540
0.619,0.047,-0.164,-1.476,1.486
0.629,0.022,-0.177,-1.459,1.470
0.639,0.126,-0.201,-1.516,1.534
0.649,0.239,-0.189,-1.580,1.609
0.659,0.353,-0.234,-1.628,1.682
0.669,0.413,-0.140,-1.676,1.732
0.679,0.375,-0.066,-1.756,1.797
0.689,0.375,0.006,-1.860,1.898
0.699,0.391,0.081,-1.956,1.996
0.704,0.402,0.106,-1.973,2.016
0.719,0.435,0.116,-1.900,1.953
0.729,0.422,0.089,-1.767,1.819
0.739,0.369,0.107,-1.525,1.572
0.749,0.372,0.058,-1.360,1.411
0.759,0.365,0.026,-1.242,1.295
0.769,0.308,0.018,-1.150,1.190
0.779,0.255,-0.012,-1.112,1.140
0.789,0.246,-0.051,-1.069,1.098
