gFx,gFy,gFz
-0.163,-0.225,-1.078
-0.195,-0.209,-1.086
-0.184,-0.205,-1.056
-0.153,-0.231,-1.025
-0.137,-0.236,-1.008
-0.165,-0.274,-0.984
-0.165,-0.23,-0.911
-0.147,-0.143,-0.879
-0.124,-0.111,-0.891
-0.153,-0.198,-0.939
-0.173,-0.236,-0.982
-0.118,-0.175,-1.025
-0.075,-0.169,-1.094
-0.062,-0.163,-1.15
-0.084,-0.178,-1.15
-0.154,-0.186,-1.074
-0.165,-0.095,-0.989
-0.179,-0.146,-0.969
-0.137,-0.209,-0.95
-0.066,-0.213,-0.954
0.011,-0.2,-1.011
0.051,-0.2,-1.126
-0.003,-0.194,-1.176
-0.006,-0.094,-1.122
0.033,-0.034,-1.066
0.116,-0.042,-1.04
0.206,-0.081,-1.034
0.227,-0.056,-0.999
0.164,-0.007,-0.859
0.105,-0.027,-0.601
0.076,-0.092,-0.389
0.096,-0.142,-0.253
0.087,-0.154,-0.217
0.049,-0.116,-0.24
0.109,-0.17,-0.346
0.277,-0.38,-0.515
0.196,-0.198,-0.569
0.141,-0.007,-0.608
0.199,-0.092,-0.726
0.135,-0.112,-0.795
0.092,-0.091,-0.758
0.103,-0.151,-0.781
0.089,-0.259,-0.834
0.06,-0.425,-0.929
0.058,-0.532,-1.08
0.067,-0.456,-1.128
0.019,-0.361,-1.108
-0.065,-0.329,-1.071
-0.129,-0.253,-0.957
-0.114,-0.117,-0.979
-0.095,-0.031,-1.038
-0.08,-0.021,-1.086
-0.094,-0.012,-1.167
-0.162,-0.035,-1.295
-0.257,-0.096,-1.467
-0.286,-0.169,-1.622
-0.226,-0.213,-1.68
-0.134,-0.158,-1.623
-0.099,-0.059,-1.534
-0.254,-0.015,-1.482
-0.462,-0.013,-1.541
-0.503,0,-1.639
-0.389,0.009,-1.795
-0.22,0.054,-1.924
-0.117,0.106,-2.007
-0.108,0.123,-2.057
-0.163,0.118,-2.068
-0.216,0.136,-2.038
-0.233,0.18,-1.985
-0.177,0.216,-1.89
-0.061,0.245,-1.772
0.013,0.255,-1.652
0.012,0.262,-1.527
0.02,0.28,-1.381
0.054,0.291,-1.211
0.1,0.29,-1.037
0.138,0.299,-0.888
0.176,0.286,-0.765
0.215,0.25,-0.659
0.255,0.215,-0.554
0.281,0.188,-0.45
0.299,0.18,-0.362
0.342,0.169,-0.307
0.384,0.128,-0.277
0.4,0.093,-0.272
0.396,0.095,-0.273
0.369,0.102,-0.253
0.346,0.093,-0.222
0.342,0.093,-0.189
0.355,0.104,-0.164
0.371,0.096,-0.139
0.405,0.094,-0.11
0.455,0.108,-0.088
0.476,0.097,-0.066
0.485,0.091,-0.045
0.502,0.119,-0.052
0.526,0.123,-0.109
0.564,0.153,-0.183
0.606,0.184,-0.287
0.635,0.194,-0.403
0.653,0.19,-0.502
0.648,0.166,-0.573
0.662,0.149,-0.639
0.661,0.101,-0.722
0.669,0.045,-0.797
0.694,0.011,-0.866
0.705,-0.011,-0.935
0.685,-0.044,-1.027
0.625,-0.062,-1.144
0.535,-0.061,-1.274
0.411,-0.042,-1.418
0.248,-0.124,-1.558
0.158,-0.219,-1.667
0.17,-0.187,-1.743
0.113,-0.169,-1.838
0.021,-0.17,-1.93
-0.04,-0.176,-1.986
-0.105,-0.184,-1.998
-0.188,-0.197,-1.979
-0.271,-0.223,-1.957
-0.37,-0.237,-1.956
