gFx,gFy,gFz
0.067,-0.091,-1.33
0.042,-0.081,-1.34
0.001,-0.067,-1.328
-0.033,-0.053,-1.312
-0.072,-0.049,-1.298
-0.107,-0.059,-1.272
-0.106,-0.074,-1.25
-0.107,-0.093,-1.241
-0.11,-0.105,-1.252
-0.116,-0.119,-1.253
-0.128,-0.122,-1.246
-0.143,-0.126,-1.239
-0.145,-0.134,-1.235
-0.144,-0.137,-1.223
-0.154,-0.142,-1.223
-0.148,-0.153,-1.231
-0.122,-0.159,-1.247
-0.093,-0.161,-1.25
-0.066,-0.16,-1.237
-0.049,-0.161,-1.226
-0.044,-0.15,-1.211
-0.042,-0.144,-1.194
-0.039,-0.145,-1.189
-0.03,-0.144,-1.185
-0.005,-0.141,-1.192
0.013,-0.133,-1.23
0.024,-0.13,-1.276
0.046,-0.135,-1.306
0.08,-0.149,-1.313
0.113,-0.172,-1.31
0.141,-0.189,-1.297
0.154,-0.195,-1.278
0.158,-0.202,-1.26
0.154,-0.197,-1.26
0.146,-0.185,-1.284
0.144,-0.174,-1.32
0.147,-0.158,-1.358
0.149,-0.142,-1.381
0.152,-0.127,-1.376
0.148,-0.113,-1.335
0.142,-0.102,-1.273
0.127,-0.097,-1.197
0.114,-0.098,-1.12
0.112,-0.1,-1.044
0.112,-0.096,-0.966
0.105,-0.094,-0.903
0.095,-0.088,-0.862
0.091,-0.088,-0.833
0.093,-0.086,-0.802
0.09,-0.078,-0.772
0.087,-0.081,-0.748
0.086,-0.078,-0.729
0.082,-0.074,-0.722
0.078,-0.082,-0.707
0.092,-0.093,-0.682
0.118,-0.109,-0.654
0.149,-0.132,-0.618
0.177,-0.149,-0.572
0.203,-0.162,-0.526
0.218,-0.17,-0.493
0.216,-0.18,-0.499
0.221,-0.185,-0.528
0.239,-0.179,-0.572
0.261,-0.163,-0.626
0.278,-0.143,-0.681
0.295,-0.141,-0.725
0.321,-0.14,-0.744
0.335,-0.137,-0.745
0.321,-0.151,-0.738
0.311,-0.165,-0.727
0.312,-0.167,-0.709
0.309,-0.17,-0.691
0.299,-0.171,-0.669
0.294,-0.171,-0.657
0.303,-0.172,-0.661
0.315,-0.167,-0.683
0.317,-0.171,-0.707
0.32,-0.171,-0.751
0.329,-0.167,-0.83
0.335,-0.164,-0.897
0.329,-0.167,-0.928
0.311,-0.179,-0.938
0.286,-0.192,-0.939
0.263,-0.213,-0.934
0.255,-0.225,-0.944
0.246,-0.232,-0.971
0.237,-0.236,-1.015
0.225,-0.234,-1.045
0.205,-0.239,-1.067
0.188,-0.234,-1.104
0.175,-0.224,-1.136
0.162,-0.218,-1.168
0.143,-0.213,-1.21
0.118,-0.21,-1.234
0.098,-0.207,-1.229
0.085,-0.207,-1.217
0.074,-0.21,-1.207
0.057,-0.21,-1.199
0.037,-0.206,-1.194
0.014,-0.2,-1.192
-0.014,-0.2,-1.195
-0.049,-0.199,-1.199
-0.081,-0.196,-1.197
-0.104,-0.194,-1.207
-0.119,-0.2,-1.222
-0.131,-0.2,-1.229
-0.148,-0.207,-1.228
-0.165,-0.21,-1.221
-0.174,-0.211,-1.227
-0.177,-0.218,-1.242
-0.18,-0.217,-1.239
-0.181,-0.211,-1.223
-0.178,-0.207,-1.221
-0.172,-0.198,-1.245
-0.163,-0.19,-1.275
-0.146,-0.192,-1.282
-0.123,-0.201,-1.27
-0.104,-0.213,-1.246
-0.084,-0.222,-1.22
-0.063,-0.227,-1.215
-0.045,-0.228,-1.23
-0.019,-0.229,-1.249
0.009,-0.228,-1.269
0.033,-0.227,-1.302
0.053,-0.218,-1.329
0.069,-0.21,-1.337
0.093,-0.204,-1.337
0.117,-0.205,-1.323
0.138,-0.204,-1.303
0.15,-0.21,-1.28
0.163,-0.217,-1.239
0.179,-0.213,-1.198
0.193,-0.207,-1.17
0.201,-0.204,-1.14
0.206,-0.204,-1.106
0.219,-0.201,-1.063
0.227,-0.2,-1.017
0.224,-0.203,-0.969
0.22,-0.206,-0.916
0.22,-0.209,-0.866
0.218,-0.218,-0.829
0.227,-0.233,-0.816
0.237,-0.241,-0.806
0.234,-0.24,-0.788
0.217,-0.238,-0.767
0.199,-0.232,-0.743
0.196,-0.224,-0.727
0.19,-0.216,-0.722
0.175,-0.215,-0.728
0.171,-0.216,-0.729
0.179,-0.221,-0.719
0.185,-0.226,-0.7
0.186,-0.231,-0.675
0.187,-0.238,-0.643
0.188,-0.249,-0.609
0.183,-0.258,-0.584
0.175,-0.266,-0.568
0.169,-0.265,-0.567
0.171,-0.261,-0.584
0.169,-0.258,-0.604
0.17,-0.26,-0.616
0.18,-0.267,-0.615
0.187,-0.272,-0.614
0.192,-0.275,-0.619
0.193,-0.282,-0.632
0.193,-0.287,-0.651
0.191,-0.28,-0.67
0.191,-0.27,-0.684
0.192,-0.266,-0.704
0.192,-0.266,-0.726
0.2,-0.27,-0.74
0.205,-0.274,-0.748
0.203,-0.273,-0.762
0.204,-0.26,-0.774
0.207,-0.25,-0.79
0.207,-0.245,-0.812
0.211,-0.24,-0.821
0.218,-0.232,-0.819
0.225,-0.225,-0.819
0.235,-0.214,-0.825
0.237,-0.21,-0.842
0.238,-0.211,-0.871
0.246,-0.205,-0.896
0.253,-0.201,-0.917
0.266,-0.201,-0.937
0.27,-0.2,-0.956
0.264,-0.191,-0.973
0.251,-0.191,-1.002
0.244,-0.186,-1.047
0.241,-0.17,-1.115
0.233,-0.164,-1.199
