time,gFx,gFy,gFz,gFTotal
0.000,0.261,-0.312,-0.928,1.013
0.010,0.264,-0.262,-0.895,0.970
0.020,0.241,-0.225,-0.868,0.929
0.030,0.245,-0.207,-0.843,0.902
0.040,0.267,-0.226,-0.834,0.905
0.050,0.282,-0.229,-0.871,0.944
0.060,0.315,-0.249,-0.919,1.002
0.070,0.396,-0.276,-0.957,1.073
0.080,0.456,-0.309,-0.986,1.129
0.090,0.422,-0.308,-1.008,1.135
0.100,0.306,-0.261,-1.025,1.101
0.110,0.280,-0.214,-1.012,1.072
0.120,0.317,-0.206,-0.973,1.044
0.130,0.332,-0.261,-0.957,1.046
0.140,0.289,-0.315,-0.973,1.063
0.150,0.293,-0.331,-0.968,1.064
0.160,0.309,-0.334,-0.971,1.072
0.170,0.312,-0.322,-0.997,1.093
0.180,0.348,-0.341,-1.028,1.138
0.190,0.375,-0.376,-1.031,1.159
0.200,0.359,-0.384,-0.997,1.127
0.210,0.314,-0.371,-0.957,1.073
0.220,0.279,-0.333,-0.926,1.023
0.230,0.260,-0.285,-0.925,1.002
0.240,0.252,-0.231,-0.938,0.998
0.250,0.258,-0.188,-0.946,0.998
0.259,0.271,-0.158,-0.944,0.995
0.270,0.287,-0.140,-0.950,1.003
0.280,0.285,-0.119,-0.957,1.005
0.290,0.274,-0.106,-0.971,1.015
0.299,0.288,-0.124,-0.980,1.029
0.309,0.293,-0.152,-0.987,1.041
0.320,0.252,-0.157,-1.020,1.062
0.329,0.198,-0.149,-1.048,1.077
0.339,0.193,-0.145,-1.035,1.063
0.349,0.253,-0.165,-0.968,1.014
0.359,0.309,-0.206,-0.888,0.963
0.369,0.285,-0.242,-0.903,0.977
0.379,0.250,-0.256,-0.925,0.991
0.389,0.226,-0.268,-0.913,0.978
0.399,0.198,-0.268,-0.900,0.960
0.409,0.168,-0.257,-0.894,0.945
0.419,0.181,-0.298,-0.908,0.973
0.429,0.169,-0.342,-0.930,1.005
0.439,0.176,-0.408,-0.937,1.037
0.449,0.212,-0.503,-0.953,1.098
0.459,0.175,-0.542,-0.977,1.131
0.469,0.100,-0.491,-0.905,1.034
0.479,0.020,-0.378,-0.793,0.879
0.489,0.059,-0.306,-0.786,0.846
0.499,0.141,-0.282,-0.742,0.806
0.509,0.186,-0.271,-0.716,0.788
0.519,0.272,-0.278,-0.714,0.812
0.529,0.361,-0.241,-0.670,0.799
0.539,0.363,-0.141,-0.521,0.650
0.549,0.277,-0.045,-0.603,0.665
0.559,0.212,-0.102,-0.666,0.706
0.569,0.243,-0.092,-0.725,0.770
0.579,0.370,0.017,-0.754,0.841
0.589,0.548,0.099,-0.858,1.023
0.599,0.731,0.131,-0.932,1.191
0.609,0.869,0.184,-0.857,1.234
0.619,0.918,0.257,-0.652,1.155
0.629,0.929,0.260,-0.422,1.053
0.639,0.885,0.215,-0.237,0.941
0.649,0.794,0.167,-0.158,0.826
0.659,0.754,0.180,-0.201,0.801
0.669,0.754,0.210,-0.146,0.796
0.679,0.752,0.175,-0.309,0.832
0.689,0.719,0.131,-0.546,0.913
0.699,0.666,0.083,-0.764,1.016
0.709,0.616,0.048,-0.929,1.116
0.719,0.618,-0.041,-1.011,1.186
0.729,0.658,-0.155,-1.004,1.210
0.739,0.716,-0.242,-0.939,1.205
0.749,0.738,-0.345,-0.890,1.207
0.759,0.716,-0.435,-0.917,1.242
0.769,0.655,-0.504,-1.002,1.299
0.779,0.576,-0.539,-1.097,1.351
0.789,0.477,-0.546,-1.192,1.395
0.799,0.360,-0.566,-1.262,1.429
