,average_gFx,average_gFy,average_gFz,sum_gFx,sum_gFy,sum_gFz,action
0,-0.16811000000000004,0.20289999999999997,-0.9636599999999999,-16.811000000000003,20.289999999999996,-96.36599999999999,walk
1,-0.1376,0.17861999999999997,-0.9762399999999998,-13.76,17.862,-97.62399999999998,walk
2,-0.18732999999999997,0.19846,-1.05945,-18.732999999999997,19.846,-105.945,walk
3,-0.14999,0.24595,-0.96672,-14.999,24.595,-96.672,walk
4,-0.1972,0.20415000000000003,-0.9734100000000001,-19.72,20.415000000000003,-97.34100000000001,walk
5,-0.19644999999999999,0.23596000000000003,-0.9860899999999997,-19.645,23.596000000000004,-98.60899999999997,walk
6,-0.15248,0.27497000000000005,-0.9587699999999998,-15.248,27.497000000000003,-95.87699999999998,walk
7,-0.18847000000000005,0.22775,-1.03411,-18.847000000000005,22.775000000000002,-103.411,walk
8,-0.15188999999999997,0.25361000000000006,-0.9632999999999999,-15.188999999999998,25.361000000000004,-96.33,walk
9,-0.16579000000000005,0.22754999999999992,-0.9449999999999998,-16.579000000000004,22.754999999999992,-94.49999999999999,walk
10,-0.21166999999999994,0.21166000000000001,-1.02187,-21.166999999999994,21.166,-102.187,walk
11,-0.17476000000000003,0.27277,-0.9423600000000001,-17.476000000000003,27.277,-94.236,walk
12,-0.21363,0.25058,-0.95104,-21.363,25.058,-95.104,walk
13,-0.24032,0.28034,-0.9767899999999998,-24.032,28.034,-97.67899999999999,walk
14,-0.22302,0.33886999999999995,-0.9256099999999999,-22.302,33.88699999999999,-92.56099999999999,walk
15,-0.27858,0.29257,-0.9517299999999999,-27.857999999999997,29.256999999999998,-95.17299999999999,walk
16,-0.27347,0.30955,-0.9161999999999999,-27.347,30.955,-91.61999999999999,walk
17,-0.27137,0.30361,-0.91756,-27.137,30.360999999999997,-91.756,walk
18,-0.26311999999999997,0.27704,-0.9707700000000001,-26.311999999999998,27.704,-97.07700000000001,walk
19,-0.20990999999999999,0.31053,-0.9296799999999998,-20.991,31.052999999999997,-92.96799999999999,walk
20,-0.25368999999999997,0.28462,-0.95002,-25.369,28.462,-95.002,walk
21,-0.24256999999999998,0.28541,-0.9497700000000002,-24.256999999999998,28.541,-94.97700000000002,walk
22,-0.2095,0.29442,-0.9346900000000001,-20.95,29.442000000000004,-93.46900000000001,walk
23,-0.24610999999999997,0.27939,-0.9958,-24.610999999999997,27.939,-99.58,walk
24,-0.21306,0.3101499999999999,-0.9342499999999998,-21.306,31.014999999999993,-93.42499999999998,walk
25,-0.18567,0.30003,-0.95012,-18.567,30.003,-95.012,walk
26,-0.21085000000000004,0.31627,-0.9871100000000002,-21.085000000000004,31.627,-98.71100000000001,walk
27,-0.21095000000000003,0.3511200000000001,-0.92415,-21.095000000000002,35.11200000000001,-92.415,walk
28,-0.25002,0.29858000000000007,-0.98,-25.002000000000002,29.858000000000004,-98.0,walk
29,-0.23138000000000006,0.30411,-0.9419200000000001,-23.138000000000005,30.410999999999998,-94.19200000000001,walk
30,-0.18331,0.29223000000000005,-0.93022,-18.331,29.223000000000003,-93.022,walk
31,-0.24623,0.22349999999999998,-1.02319,-24.623,22.349999999999998,-102.319,walk
32,-0.24931,0.27082000000000006,-0.9651200000000002,-24.931,27.082000000000004,-96.51200000000001,walk
33,-0.21756,0.21733999999999998,-0.9593199999999998,-21.756,21.733999999999998,-95.93199999999999,walk
34,-0.20916,0.11547,-1.0396100000000001,-20.916,11.547,-103.96100000000001,walk
35,-0.14218,0.16796,-0.9979600000000001,-14.218,16.796,-99.796,walk
36,-0.10474999999999998,0.11141999999999999,-0.9874799999999999,-10.474999999999998,11.142,-98.74799999999999,walk
37,-0.1237,0.08127000000000001,-1.02118,-12.370000000000001,8.127,-102.118,walk
38,-0.12115999999999999,0.18714000000000003,-0.98224,-12.116,18.714000000000002,-98.224,walk
39,-0.15282999999999997,0.17403000000000005,-1.0251299999999999,-15.282999999999998,17.403000000000006,-102.51299999999998,walk
40,-0.1515,0.23447999999999997,-0.9770700000000001,-15.15,23.447999999999997,-97.70700000000001,walk
41,-0.18061000000000005,0.25865999999999995,-0.9724700000000002,-18.061000000000003,25.865999999999996,-97.24700000000001,walk
42,-0.21638,0.20869,-1.05331,-21.637999999999998,20.869,-105.33099999999999,walk
43,-0.13724000000000003,0.21005,-0.9900000000000001,-13.724000000000002,21.005,-99.00000000000001,walk
44,-0.14064,0.09501999999999997,-1.0139000000000002,-14.064,9.501999999999997,-101.39000000000001,walk
45,-0.12165000000000001,0.13877,-0.9850399999999999,-12.165000000000001,13.877,-98.50399999999999,walk
46,-0.13311,0.19791999999999996,-0.9803499999999999,-13.311,19.791999999999994,-98.035,walk
47,-0.18367999999999998,0.19976,-1.0374899999999998,-18.368,19.976,-103.74899999999998,walk
48,-0.15163000000000001,0.25375,-0.9727600000000001,-15.163,25.375,-97.27600000000001,walk
49,-0.18619000000000002,0.21233000000000005,-0.99563,-18.619000000000003,21.233000000000004,-99.563,walk
50,-0.17837,0.23726,-0.9698199999999999,-17.837,23.726,-96.98199999999999,walk
51,-0.14766,0.24657,-0.9535399999999999,-14.766000000000002,24.657,-95.354,walk
52,-0.17509000000000005,0.22,-1.02479,-17.509000000000004,22.0,-102.47900000000001,walk
53,-0.15245,0.26936,-0.9574500000000001,-15.245,26.936,-95.74500000000002,walk
54,-0.17290999999999998,0.21319000000000002,-0.9790199999999999,-17.290999999999997,21.319000000000003,-97.90199999999999,walk
55,-0.17454999999999998,0.23353999999999997,-0.97419,-17.455,23.353999999999996,-97.419,walk
56,-0.17008000000000004,0.28768,-0.95785,-17.008000000000003,28.767999999999997,-95.785,walk
57,-0.21597999999999998,0.25553,-1.03137,-21.598,25.552999999999997,-103.13699999999999,walk
58,-0.16941000000000003,0.30025,-0.9511499999999999,-16.941000000000003,30.025000000000002,-95.115,walk
59,-0.15549,0.22826999999999997,-0.9791599999999999,-15.549,22.826999999999998,-97.916,walk
60,-0.13455999999999999,0.20321,-0.9967200000000002,-13.456,20.321,-99.67200000000001,walk
61,-0.11642999999999998,0.23185999999999996,-0.9859800000000001,-11.642999999999997,23.185999999999996,-98.59800000000001,walk
62,-0.12403,0.22187,-1.04775,-12.403,22.187,-104.77499999999999,walk
63,-0.10337,0.26249,-0.9605400000000001,-10.337,26.249,-96.054,walk
64,-0.14148,0.17244,-0.9841799999999999,-14.148,17.244,-98.41799999999999,walk
65,-0.12222999999999999,0.15765,-1.0234999999999999,-12.222999999999999,15.765,-102.35,walk
66,-0.07854,0.20044,-0.9847000000000001,-7.854,20.044,-98.47000000000001,walk
67,-0.14471,0.13676000000000002,-1.02087,-14.471,13.676000000000002,-102.08699999999999,walk
68,-0.13024000000000002,0.17476000000000003,-0.9673900000000001,-13.024000000000001,17.476000000000003,-96.739,walk
