time,gFx,gFy,gFz,gFTotal
0.000,0.072,-0.362,-0.857,0.933
0.010,0.135,-0.391,-0.878,0.971
0.020,0.185,-0.345,-0.909,0.989
0.030,0.201,-0.294,-0.908,0.975
0.040,0.264,-0.251,-0.898,0.969
0.050,0.315,-0.260,-0.867,0.958
0.060,0.298,-0.278,-0.867,0.958
0.070,0.220,-0.260,-0.937,0.997
0.080,0.205,-0.247,-0.987,1.038
0.090,0.214,-0.255,-1.032,1.084
0.100,0.217,-0.248,-1.040,1.091
0.110,0.244,-0.196,-0.947,0.997
0.120,0.285,-0.187,-0.867,0.931
0.130,0.240,-0.198,-0.857,0.912
0.140,0.164,-0.314,-0.937,1.002
0.150,0.044,-0.315,-1.010,1.059
0.160,0.047,-0.279,-1.048,1.085
0.170,0.162,-0.226,-1.028,1.065
0.180,0.344,-0.204,-1.046,1.120
0.190,0.390,-0.153,-1.065,1.145
0.200,0.307,-0.078,-1.156,1.198
0.209,0.235,-0.070,-1.218,1.242
0.220,0.216,-0.036,-1.162,1.183
0.230,0.296,-0.031,-1.120,1.159
0.240,0.264,-0.133,-1.078,1.118
0.250,0.216,-0.181,-0.963,1.004
0.259,0.159,-0.176,-0.865,0.897
0.270,0.029,-0.241,-0.696,0.737
0.280,-0.004,-0.192,-0.576,0.607
0.289,0.002,-0.108,-0.595,0.605
0.299,0.051,-0.204,-0.682,0.713
0.310,0.050,-0.266,-0.778,0.824
0.320,0.053,-0.311,-0.881,0.936
0.329,0.026,-0.261,-0.949,0.985
0.339,-0.019,-0.244,-0.977,1.007
0.349,-0.094,-0.232,-0.990,1.021
0.359,-0.141,-0.223,-0.957,0.993
0.369,-0.183,-0.235,-0.936,0.982
0.379,-0.205,-0.237,-0.907,0.960
0.389,-0.226,-0.244,-0.892,0.952
0.399,-0.248,-0.287,-0.905,0.981
0.409,-0.249,-0.392,-1.008,1.110
0.419,-0.222,-0.499,-1.073,1.204
0.429,-0.147,-0.546,-1.030,1.175
0.439,-0.091,-0.565,-1.053,1.198
0.449,-0.079,-0.550,-1.057,1.194
0.459,-0.110,-0.499,-1.047,1.165
0.469,-0.123,-0.492,-1.042,1.159
0.479,-0.216,-0.483,-1.129,1.247
0.489,-0.232,-0.406,-1.209,1.296
0.499,-0.137,-0.309,-1.288,1.331
0.509,-0.064,-0.272,-1.329,1.358
0.519,-0.063,-0.291,-1.343,1.376
0.529,-0.091,-0.328,-1.314,1.358
0.539,-0.098,-0.360,-1.249,1.303
0.549,-0.066,-0.380,-1.166,1.228
0.559,-0.025,-0.398,-1.094,1.165
0.569,0.000,-0.417,-1.036,1.117
0.579,-0.008,-0.425,-1.004,1.090
0.589,-0.060,-0.400,-1.015,1.093
0.599,-0.097,-0.361,-1.023,1.089
0.609,-0.169,-0.322,-1.088,1.147
0.619,-0.259,-0.307,-1.145,1.214
0.629,-0.186,-0.237,-1.181,1.219
0.639,-0.036,-0.144,-1.205,1.214
0.649,0.049,-0.110,-1.202,1.208
0.659,0.055,-0.126,-1.159,1.167
0.669,0.050,-0.138,-1.082,1.092
0.679,0.062,-0.116,-0.984,0.993
0.689,0.033,-0.108,-0.864,0.872
0.699,0.049,-0.133,-0.781,0.794
0.709,0.135,-0.117,-0.784,0.805
0.719,0.199,-0.106,-0.741,0.774
0.729,0.215,-0.104,-0.703,0.743
0.739,0.226,-0.112,-0.658,0.704
0.749,0.262,-0.116,-0.628,0.690
0.759,0.275,-0.116,-0.626,0.694
0.769,0.232,-0.111,-0.632,0.682
0.779,0.192,-0.069,-0.636,0.668
0.789,0.208,-0.015,-0.647,0.680
0.799,0.213,0.027,-0.671,0.704
0.808,0.246,0.095,-0.700,0.748
0.819,0.255,0.135,-0.750,0.804
0.829,0.267,0.172,-0.813,0.873
0.839,0.324,0.240,-0.845,0.936
0.849,0.408,0.262,-0.885,1.009
0.858,0.566,0.234,-0.945,1.126
0.869,0.717,0.149,-0.981,1.224
0.878,0.755,0.055,-0.954,1.218
0.888,0.654,0.001,-0.829,1.056
0.898,0.555,-0.004,-0.704,0.896
0.908,0.467,0.009,-0.659,0.808
0.918,0.408,-0.020,-0.707,0.816
0.928,0.411,-0.062,-0.856,0.951
0.938,0.365,-0.112,-0.944,1.018
0.948,0.329,-0.149,-0.983,1.048
0.958,0.287,-0.178,-1.024,1.078
0.968,0.222,-0.217,-1.056,1.100
0.978,0.168,-0.242,-1.107,1.145
0.988,0.026,-0.258,-1.183,1.211
0.998,-0.099,-0.234,-1.248,1.273
1.008,-0.196,-0.205,-1.278,1.309
1.018,-0.301,-0.209,-1.330,1.379
1.028,-0.335,-0.247,-1.337,1.400
1.038,-0.291,-0.289,-1.383,1.442
1.048,-0.282,-0.360,-1.470,1.539
