time,gFx,gFy,gFz,gFTotal
0.000,-0.146,-0.138,-0.896,0.918
0.010,-0.028,-0.159,-0.850,0.865
0.020,-0.012,-0.205,-0.863,0.887
0.030,0.010,-0.197,-0.941,0.962
0.040,0.057,-0.208,-0.980,1.003
0.050,0.085,-0.240,-1.018,1.049
0.060,0.062,-0.279,-1.048,1.086
0.070,0.060,-0.284,-1.072,1.111
0.080,0.061,-0.286,-1.099,1.137
0.090,0.051,-0.284,-1.115,1.152
0.100,0.046,-0.274,-1.119,1.153
0.110,0.034,-0.223,-1.109,1.132
0.120,0.025,-0.182,-1.081,1.097
0.130,0.042,-0.141,-1.032,1.042
0.140,0.045,-0.133,-0.993,1.003
0.150,0.026,-0.153,-0.993,1.005
0.160,0.019,-0.185,-1.003,1.020
0.170,0.041,-0.216,-1.024,1.047
0.180,0.061,-0.219,-1.032,1.057
0.190,0.059,-0.206,-1.018,1.040
0.200,0.038,-0.194,-0.980,1.000
0.210,0.025,-0.179,-0.963,0.980
0.220,0.033,-0.181,-0.968,0.986
0.230,0.050,-0.192,-0.985,1.004
0.240,0.084,-0.174,-1.001,1.019
0.250,0.118,-0.155,-0.965,0.985
0.260,0.111,-0.144,-0.939,0.957
0.269,0.104,-0.138,-0.954,0.970
0.279,0.093,-0.164,-0.967,0.985
0.290,0.085,-0.201,-0.967,0.991
0.299,0.084,-0.222,-0.975,1.004
0.309,0.088,-0.228,-0.994,1.024
0.319,0.103,-0.220,-1.003,1.032
0.329,0.118,-0.209,-1.006,1.034
0.339,0.119,-0.194,-1.002,1.027
0.349,0.103,-0.200,-0.986,1.011
0.359,0.102,-0.209,-0.963,0.990
0.369,0.100,-0.203,-0.951,0.977
0.379,0.118,-0.177,-0.936,0.960
0.389,0.137,-0.174,-0.930,0.956
0.399,0.150,-0.179,-0.933,0.962
0.409,0.162,-0.174,-0.972,1.001
0.419,0.197,-0.181,-0.987,1.023
0.429,0.212,-0.191,-0.968,1.010
0.439,0.199,-0.196,-0.959,0.999
0.449,0.177,-0.199,-0.968,1.004
0.459,0.165,-0.198,-0.970,1.004
0.469,0.181,-0.198,-0.961,0.998
0.479,0.202,-0.189,-0.969,1.008
0.489,0.209,-0.187,-0.973,1.013
0.499,0.202,-0.188,-0.966,1.005
0.509,0.190,-0.184,-0.963,0.999
0.519,0.182,-0.176,-0.954,0.987
0.529,0.192,-0.167,-0.950,0.983
0.539,0.202,-0.162,-0.954,0.989
0.549,0.193,-0.156,-0.951,0.983
0.559,0.198,-0.146,-0.946,0.977
0.569,0.221,-0.152,-0.954,0.991
0.579,0.226,-0.169,-0.967,1.008
0.589,0.224,-0.174,-0.970,1.011
0.599,0.211,-0.176,-0.956,0.995
0.609,0.209,-0.171,-0.937,0.975
0.619,0.203,-0.166,-0.931,0.967
0.629,0.184,-0.160,-0.930,0.961
0.639,0.165,-0.140,-0.919,0.944
0.649,0.176,-0.119,-0.888,0.913
0.659,0.181,-0.091,-0.886,0.909
0.669,0.177,-0.099,-0.904,0.927
0.679,0.170,-0.141,-0.906,0.932
0.689,0.193,-0.177,-0.885,0.923
0.699,0.190,-0.196,-0.903,0.944
0.709,0.174,-0.204,-0.959,0.996
0.719,0.146,-0.230,-1.000,1.037
0.729,0.108,-0.265,-0.994,1.034
0.739,0.107,-0.263,-0.950,0.992
0.749,0.111,-0.239,-0.898,0.936
0.759,0.113,-0.202,-0.895,0.924
0.768,0.082,-0.167,-0.996,1.013
0.779,0.037,-0.176,-1.033,1.048
0.789,0.002,-0.180,-0.962,0.979
0.799,-0.041,-0.173,-0.916,0.933
0.809,-0.047,-0.175,-0.897,0.915
0.818,-0.026,-0.177,-0.917,0.935
0.828,-0.047,-0.206,-0.964,0.987
0.838,-0.060,-0.247,-0.979,1.012
0.848,-0.079,-0.268,-1.012,1.050
0.859,-0.064,-0.270,-1.085,1.120
0.868,-0.075,-0.316,-1.065,1.114
0.878,-0.064,-0.263,-0.955,0.993
0.888,-0.053,-0.171,-0.960,0.977
0.898,-0.045,-0.088,-0.884,0.889
0.908,-0.024,-0.038,-0.790,0.791
0.918,-0.068,0.008,-0.721,0.724
0.928,-0.111,0.041,-0.748,0.757
0.938,-0.057,0.047,-0.786,0.789
0.948,0.025,0.085,-0.761,0.766
0.958,0.044,0.237,-0.656,0.699
0.968,0.031,0.413,-0.581,0.713
0.978,0.029,0.423,-0.594,0.730
0.988,0.077,0.291,-0.568,0.643
0.998,0.122,0.167,-0.510,0.550
1.008,0.118,0.125,-0.514,0.542
1.018,0.127,0.142,-0.630,0.658
1.028,0.119,0.225,-0.810,0.849
1.038,0.104,0.295,-0.983,1.031
1.048,0.105,0.277,-1.131,1.169
1.058,0.105,0.192,-1.235,1.254
1.068,0.035,0.095,-1.264,1.268
1.078,-0.068,0.054,-1.239,1.242
1.088,-0.107,0.049,-1.199,1.205
1.098,-0.076,-0.015,-1.164,1.166
1.108,-0.011,-0.108,-1.146,1.151
1.118,0.086,-0.174,-1.131,1.148
1.128,0.185,-0.218,-1.163,1.197
1.138,0.239,-0.229,-1.223,1.267
1.148,0.227,-0.232,-1.287,1.327
1.158,0.187,-0.287,-1.319,1.363
1.168,0.079,-0.386,-1.314,1.372
1.178,-0.005,-0.468,-1.309,1.390
1.188,-0.009,-0.501,-1.299,1.393
1.198,-0.027,-0.518,-1.253,1.356
1.208,-0.030,-0.541,-1.184,1.302
1.218,0.061,-0.574,-1.157,1.293
1.228,0.112,-0.617,-1.124,1.287
1.238,0.180,-0.683,-1.075,1.287
1.248,0.272,-0.744,-1.008,1.282
1.258,0.274,-0.760,-0.951,1.248
1.268,0.151,-0.740,-0.951,1.214
1.278,-0.055,-0.716,-0.997,1.229
1.288,-0.191,-0.712,-1.017,1.256
1.298,-0.243,-0.704,-1.026,1.267
1.308,-0.270,-0.729,-1.047,1.304
1.318,-0.266,-0.784,-1.071,1.354
1.328,-0.253,-0.792,-1.163,1.430
1.338,-0.285,-0.751,-1.144,1.398
1.347,-0.166,-0.705,-1.113,1.328
1.358,-0.113,-0.646,-1.140,1.315
1.367,-0.096,-0.650,-1.143,1.318
1.378,-0.021,-0.640,-1.128,1.297
1.387,0.026,-0.602,-1.132,1.282
1.397,0.042,-0.535,-1.178,1.295
1.407,0.086,-0.490,-1.202,1.301
1.417,0.117,-0.488,-1.207,1.307
1.427,0.114,-0.468,-1.231,1.322
1.437,0.087,-0.422,-1.242,1.315
1.447,0.046,-0.409,-1.207,1.275
1.457,0.036,-0.392,-1.179,1.243
1.467,0.033,-0.385,-1.155,1.218
1.477,0.041,-0.383,-1.137,1.200
1.487,0.057,-0.355,-1.138,1.194
1.497,0.064,-0.315,-1.147,1.191
1.507,0.036,-0.265,-1.149,1.179
1.517,-0.063,-0.173,-1.203,1.217
1.527,-0.170,-0.065,-1.298,1.311
1.537,-0.200,-0.067,-1.301,1.318
1.547,-0.236,-0.094,-1.276,1.301
1.557,-0.257,-0.072,-1.275,1.303
1.567,-0.258,-0.024,-1.261,1.287
1.577,-0.236,0.005,-1.232,1.254
1.587,-0.197,0.031,-1.192,1.208
1.597,-0.159,0.080,-1.139,1.153
1.607,-0.129,0.127,-1.081,1.096
1.617,-0.138,0.160,-1.033,1.054
1.627,-0.170,0.182,-0.982,1.013
1.637,-0.223,0.205,-0.939,0.986
1.647,-0.297,0.243,-0.947,1.022
1.657,-0.357,0.284,-0.958,1.061
1.667,-0.375,0.291,-0.934,1.048
1.677,-0.370,0.259,-0.880,0.989
1.687,-0.323,0.246,-0.829,0.923
1.697,-0.239,0.267,-0.791,0.868
1.707,-0.175,0.327,-0.756,0.842
1.717,-0.169,0.393,-0.715,0.833
1.727,-0.164,0.418,-0.671,0.807
1.737,-0.134,0.409,-0.633,0.765
1.747,-0.098,0.392,-0.597,0.722
1.757,-0.083,0.382,-0.571,0.691
1.767,-0.082,0.387,-0.566,0.690
1.777,-0.075,0.386,-0.572,0.694
1.787,-0.065,0.378,-0.587,0.701
1.797,-0.051,0.396,-0.600,0.720
1.807,-0.030,0.428,-0.601,0.738
1.817,-0.000,0.455,-0.585,0.741
1.827,0.059,0.486,-0.544,0.732
1.837,0.122,0.496,-0.470,0.694
1.847,0.120,0.494,-0.480,0.699
1.857,0.078,0.500,-0.581,0.770
1.867,0.040,0.463,-0.672,0.817
1.877,0.027,0.418,-0.772,0.878
1.887,0.040,0.394,-0.864,0.951
1.897,0.040,0.392,-0.923,1.004
1.907,0.028,0.379,-0.953,1.026
1.916,0.012,0.354,-0.992,1.053
1.927,0.012,0.336,-1.026,1.079
1.937,0.004,0.323,-1.074,1.122
1.946,-0.013,0.277,-1.142,1.175
1.956,-0.018,0.210,-1.184,1.202
1.966,-0.028,0.145,-1.209,1.218
1.976,-0.039,0.080,-1.223,1.226
1.986,-0.057,-0.004,-1.220,1.221
1.996,-0.095,-0.094,-1.239,1.246
2.006,-0.146,-0.164,-1.308,1.326
2.016,-0.178,-0.234,-1.403,1.434
2.026,-0.192,-0.292,-1.484,1.524
2.036,-0.214,-0.318,-1.526,1.573
2.046,-0.232,-0.326,-1.546,1.597
2.056,-0.213,-0.343,-1.536,1.588
2.066,-0.168,-0.378,-1.495,1.551
2.076,-0.111,-0.429,-1.445,1.511
2.086,-0.036,-0.495,-1.416,1.500
2.096,0.059,-0.549,-1.416,1.520
2.106,0.077,-0.547,-1.385,1.492
2.116,-0.007,-0.498,-1.334,1.424
2.126,-0.081,-0.434,-1.287,1.361
2.136,-0.129,-0.376,-1.226,1.289
2.146,-0.160,-0.327,-1.145,1.201
2.156,-0.166,-0.308,-1.036,1.094
2.166,-0.151,-0.306,-0.939,0.999
2.176,-0.128,-0.278,-0.893,0.944
2.186,-0.105,-0.253,-0.884,0.925
2.196,-0.069,-0.240,-0.881,0.916
2.206,-0.043,-0.228,-0.873,0.903
2.216,-0.038,-0.232,-0.858,0.890
2.226,-0.039,-0.265,-0.834,0.876
2.236,-0.058,-0.301,-0.828,0.883
2.246,-0.093,-0.319,-0.857,0.920
2.256,-0.129,-0.326,-0.887,0.954
2.266,-0.169,-0.337,-0.954,1.026
2.276,-0.191,-0.368,-1.028,1.108
2.286,-0.211,-0.399,-1.094,1.183
2.296,-0.244,-0.452,-1.152,1.261
